country,prob,currDateTime
Brazil,0.19174000427178692,2022-11-20 16:41:32.609230
Argentina,0.13739478269214056,2022-11-20 16:41:32.622411
France,0.1057503717256547,2022-11-20 16:41:32.636245
Spain,0.08913994855079455,2022-11-20 16:41:32.650103
England,0.08923309971230364,2022-11-20 16:41:32.667803
Germany,0.07240499796973765,2022-11-20 16:41:32.680043
Netherlands,0.06475258339550907,2022-11-20 16:41:32.699881
Portugal,0.05362552636826314,2022-11-20 16:41:32.724919
Belgium,0.0475160174961591,2022-11-20 16:41:32.749425
Denmark,0.030903721493666072,2022-11-20 16:41:32.775383
Uruguay,0.021097000330875856,2022-11-20 16:41:32.794852
Croatia,0.01608776876276607,2022-11-20 16:41:32.810336
Serbia,0.00903309675883845,2022-11-20 16:41:32.824886
Switzerland,0.008609352786113507,2022-11-20 16:41:32.838616
Senegal,0.00723791710854308,2022-11-20 16:41:32.852373
Mexico,0.0063867893165837925,2022-11-20 16:41:32.866935
USA,0.005813650102233048,2022-11-20 16:41:32.883613
Poland,0.005212912732582027,2022-11-20 16:41:32.898349
Wales,0.0046794469682056635,2022-11-20 16:41:32.920430
Ecuador,0.004660010984198102,2022-11-20 16:41:32.935688
Morocco,0.0033008781546792847,2022-11-20 16:41:32.951700
Australia,0.00214071261135594,2022-11-20 16:41:32.968393
Iran,0.0018303419752584073,2022-11-20 16:41:32.983427
Japan,0.003360860172212577,2022-11-20 16:41:32.998606
Canada,0.002966416577630958,2022-11-20 16:41:33.013753
South Korea,0.0029557970219669756,2022-11-20 16:41:33.029547
Cameroon,0.0026281339071570218,2022-11-20 16:41:33.045080
Ghana,0.0026597219560874556,2022-11-20 16:41:33.061663
Qatar,0.0024265922702716093,2022-11-20 16:41:33.079096
Tunisia,0.001708193950728975,2022-11-20 16:41:33.095260
Saudi Arabia,0.0014125250718934987,2022-11-20 16:41:33.131537
Costa Rica,0.0013308268038018756,2022-11-20 16:41:33.153871
Brazil,0.19174000427178692,2022-11-20 16:43:59.736475
Argentina,0.13739478269214056,2022-11-20 16:43:59.749597
France,0.1057503717256547,2022-11-20 16:43:59.762845
Spain,0.08913994855079455,2022-11-20 16:43:59.779170
England,0.08923309971230364,2022-11-20 16:43:59.800442
Germany,0.07240499796973765,2022-11-20 16:43:59.822732
Netherlands,0.06475258339550907,2022-11-20 16:43:59.837262
Portugal,0.05362552636826314,2022-11-20 16:43:59.852250
Belgium,0.0475160174961591,2022-11-20 16:43:59.890137
Denmark,0.030903721493666072,2022-11-20 16:43:59.905221
Uruguay,0.021097000330875856,2022-11-20 16:43:59.919895
Croatia,0.01608776876276607,2022-11-20 16:43:59.935326
Serbia,0.00903309675883845,2022-11-20 16:43:59.949209
Switzerland,0.008609352786113507,2022-11-20 16:43:59.965119
Senegal,0.00723791710854308,2022-11-20 16:43:59.994212
Mexico,0.0063867893165837925,2022-11-20 16:44:00.018297
USA,0.005813650102233048,2022-11-20 16:44:00.035782
Poland,0.005212912732582027,2022-11-20 16:44:00.053198
Wales,0.0046794469682056635,2022-11-20 16:44:00.074472
Ecuador,0.004660010984198102,2022-11-20 16:44:00.100646
Morocco,0.0033008781546792847,2022-11-20 16:44:00.143027
Australia,0.00214071261135594,2022-11-20 16:44:00.170296
Iran,0.0018303419752584073,2022-11-20 16:44:00.202955
Japan,0.003360860172212577,2022-11-20 16:44:00.237372
Canada,0.002966416577630958,2022-11-20 16:44:00.282787
South Korea,0.0029557970219669756,2022-11-20 16:44:00.329804
Cameroon,0.0026281339071570218,2022-11-20 16:44:00.370091
Ghana,0.0026597219560874556,2022-11-20 16:44:00.408646
Qatar,0.0024265922702716093,2022-11-20 16:44:00.443460
Tunisia,0.001708193950728975,2022-11-20 16:44:00.463792
Saudi Arabia,0.0014125250718934987,2022-11-20 16:44:00.483820
Costa Rica,0.0013308268038018756,2022-11-20 16:44:00.504857
Brazil,0.19174000427178692,2022-11-20 16:47:11.477328
Argentina,0.13739478269214056,2022-11-20 16:47:11.490268
France,0.1057503717256547,2022-11-20 16:47:11.502360
Spain,0.08913994855079455,2022-11-20 16:47:11.514600
England,0.08923309971230364,2022-11-20 16:47:11.527548
Germany,0.07240499796973765,2022-11-20 16:47:11.544572
Netherlands,0.06475258339550907,2022-11-20 16:47:11.575800
Portugal,0.05362552636826314,2022-11-20 16:47:11.589086
Belgium,0.0475160174961591,2022-11-20 16:47:11.609318
Denmark,0.030903721493666072,2022-11-20 16:47:11.622407
Uruguay,0.021097000330875856,2022-11-20 16:47:11.635270
Croatia,0.01608776876276607,2022-11-20 16:47:11.647287
Serbia,0.00903309675883845,2022-11-20 16:47:11.660627
Switzerland,0.008609352786113507,2022-11-20 16:47:11.674262
Senegal,0.00723791710854308,2022-11-20 16:47:11.697891
Mexico,0.0063867893165837925,2022-11-20 16:47:11.723901
USA,0.005813650102233048,2022-11-20 16:47:11.738651
Poland,0.005212912732582027,2022-11-20 16:47:11.754166
Wales,0.0046794469682056635,2022-11-20 16:47:11.786333
Ecuador,0.004660010984198102,2022-11-20 16:47:11.800316
Morocco,0.0033008781546792847,2022-11-20 16:47:11.814634
Australia,0.00214071261135594,2022-11-20 16:47:11.829699
Iran,0.0018303419752584073,2022-11-20 16:47:11.844714
Japan,0.003360860172212577,2022-11-20 16:47:11.860709
Canada,0.002966416577630958,2022-11-20 16:47:11.877857
South Korea,0.0029557970219669756,2022-11-20 16:47:11.895651
Cameroon,0.0026281339071570218,2022-11-20 16:47:11.910937
Ghana,0.0026597219560874556,2022-11-20 16:47:11.927685
Qatar,0.0024265922702716093,2022-11-20 16:47:11.944468
Tunisia,0.001708193950728975,2022-11-20 16:47:11.961068
Saudi Arabia,0.0014125250718934987,2022-11-20 16:47:11.984420
Costa Rica,0.0013308268038018756,2022-11-20 16:47:12.005529
Brazil,0.19174000427178692,2022-11-20 16:51:18.408722
Argentina,0.13739478269214056,2022-11-20 16:51:18.420289
France,0.1057503717256547,2022-11-20 16:51:18.431542
Spain,0.08913994855079455,2022-11-20 16:51:18.448256
England,0.08923309971230364,2022-11-20 16:51:18.463002
Germany,0.07240499796973765,2022-11-20 16:51:18.474974
Netherlands,0.06475258339550907,2022-11-20 16:51:18.488184
Portugal,0.05362552636826314,2022-11-20 16:51:18.502218
Belgium,0.0475160174961591,2022-11-20 16:51:18.515815
Denmark,0.030903721493666072,2022-11-20 16:51:18.529405
Uruguay,0.021097000330875856,2022-11-20 16:51:18.544291
Croatia,0.01608776876276607,2022-11-20 16:51:18.559187
Serbia,0.00903309675883845,2022-11-20 16:51:18.575314
Switzerland,0.008609352786113507,2022-11-20 16:51:18.589834
Senegal,0.00723791710854308,2022-11-20 16:51:18.604321
Mexico,0.0063867893165837925,2022-11-20 16:51:18.618811
USA,0.005813650102233048,2022-11-20 16:51:18.640611
Poland,0.005212912732582027,2022-11-20 16:51:18.657958
Wales,0.0046794469682056635,2022-11-20 16:51:18.674043
Ecuador,0.004660010984198102,2022-11-20 16:51:18.688784
Morocco,0.0033008781546792847,2022-11-20 16:51:18.703687
Australia,0.00214071261135594,2022-11-20 16:51:18.719073
Iran,0.0018303419752584073,2022-11-20 16:51:18.733897
Japan,0.003360860172212577,2022-11-20 16:51:18.756292
Canada,0.002966416577630958,2022-11-20 16:51:18.772048
South Korea,0.0029557970219669756,2022-11-20 16:51:18.787668
Cameroon,0.0026281339071570218,2022-11-20 16:51:18.804177
Ghana,0.0026597219560874556,2022-11-20 16:51:18.819689
Qatar,0.0024265922702716093,2022-11-20 16:51:18.836478
Tunisia,0.001708193950728975,2022-11-20 16:51:18.854411
Saudi Arabia,0.0014125250718934987,2022-11-20 16:51:18.871866
Costa Rica,0.0013308268038018756,2022-11-20 16:51:18.889457
Brazil,0.19174000427178692,2022-11-20 16:54:36.244207
Argentina,0.13739478269214056,2022-11-20 16:54:36.257192
France,0.1057503717256547,2022-11-20 16:54:36.272379
Spain,0.08913994855079455,2022-11-20 16:54:36.294651
England,0.08923309971230364,2022-11-20 16:54:36.321208
Germany,0.07240499796973765,2022-11-20 16:54:36.346990
Netherlands,0.06475258339550907,2022-11-20 16:54:36.371446
Portugal,0.05362552636826314,2022-11-20 16:54:36.395575
Belgium,0.0475160174961591,2022-11-20 16:54:36.432714
Denmark,0.030903721493666072,2022-11-20 16:54:36.461247
